,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,Fortuna,40.6,-124.16,64.0,86,100,6.96,US,1597686210
375,Portree,57.41,-6.19,68.0,87,84,3.0,GB,1597686402
376,Colesberg,-30.72,25.1,47.52,41,40,14.83,ZA,1597686403
377,Kloulklubed,7.04,134.26,83.64,77,98,14.67,PW,1597686405
378,Necochea,-38.55,-58.74,61.0,37,0,15.99,AR,1597686257
379,Huarmey,-10.07,-78.15,67.35,63,97,11.07,PE,1597686407
380,Ixtapa,20.7,-105.2,88.0,62,75,5.82,MX,1597686408
381,Puerto Baquerizo Moreno,-0.9,-89.6,73.4,73,75,13.87,EC,1597686261
382,Uvinza,-5.1,30.39,70.59,42,87,2.77,TZ,1597686410
383,Rabo de Peixe,37.8,-25.58,75.2,83,75,21.92,PT,1597686412
384,Teruel,40.67,-0.67,82.4,21,29,11.41,ES,1597686413
385,Ulladulla,-35.35,150.47,54.0,62,90,12.75,AU,1597686414
386,Waddān,29.16,16.14,94.71,19,0,11.1,LY,1597686415
387,Camden,39.78,-74.97,82.0,70,0,1.01,US,1597686416
388,Doka,13.52,35.77,75.04,90,100,6.15,SD,1597686417
389,Clyde River,70.47,-68.59,44.6,100,75,2.24,CA,1597686418
390,Arrondissement de Vichy,46.25,3.58,78.01,44,100,9.17,FR,1597686420
391,Mizhhirya,48.52,23.51,63.7,83,11,1.23,UA,1597686421
392,Chicama,-7.84,-79.15,73.0,51,37,10.58,PE,1597686422
393,Katobu,-4.94,122.53,71.08,92,25,2.06,ID,1597686423
394,Arona,28.1,-16.68,82.4,48,4,20.8,ES,1597686425
395,Padang,-0.95,100.35,77.63,77,95,4.99,ID,1597686426
396,Alofi,-19.06,-169.92,71.6,73,75,11.41,NU,1597686427
397,Chumikan,54.72,135.31,51.98,92,100,5.79,RU,1597686428
398,College,64.86,-147.8,59.0,71,40,4.7,US,1597686429
399,Coolum Beach,-26.53,153.1,46.99,86,0,5.06,AU,1597686430
400,Shiyan,32.65,110.78,76.42,88,60,2.19,CN,1597686432
401,São Filipe,14.9,-24.5,78.96,84,67,3.69,CV,1597686433
402,Grindavik,63.84,-22.43,59.0,82,40,9.17,IS,1597686434
403,Saint George,37.1,-113.58,102.0,12,1,4.7,US,1597686435
404,Sambava,-14.27,50.17,71.19,81,0,15.39,MG,1597686205
405,Kamenka,51.32,42.77,69.01,78,3,3.0,RU,1597686438
406,Walvis Bay,-22.96,14.51,57.0,84,0,13.0,NA,1597686183
407,Iquitos,-3.75,-73.25,93.2,56,75,4.7,PE,1597686204
408,Sidi Ali,36.1,0.42,78.28,51,0,5.32,DZ,1597686441
409,Macas,-2.32,-78.12,82.4,54,40,5.82,EC,1597686443
410,Linjiang,41.81,126.91,71.51,89,100,3.4,CN,1597686444
411,São João da Barra,-21.64,-41.05,86.0,55,40,13.87,BR,1597686445
412,Almaznyy,48.04,40.05,75.2,47,22,6.71,RU,1597686447
413,Steamboat Springs,40.48,-106.83,82.99,24,1,5.88,US,1597686448
414,Creel,27.75,-107.63,72.36,39,5,13.18,MX,1597686449
415,Batagay,67.63,134.63,37.0,81,4,0.65,RU,1597686450
416,Trelew,-43.25,-65.31,58.68,34,66,38.72,AR,1597686179
417,Bonfim,3.08,-59.95,87.08,64,67,5.55,BR,1597686453
418,Olinda,-8.01,-34.86,82.4,65,40,10.29,BR,1597686454
419,Nouadhibou,20.93,-17.03,77.0,69,93,21.92,MR,1597686455
420,Paita,-5.09,-81.11,73.4,69,83,16.11,PE,1597686457
421,Gondanglegi,-7.75,112.01,74.93,81,1,12.95,ID,1597686458
422,Pran Buri,12.38,99.91,78.35,79,100,4.83,TH,1597686459
423,Kurtamysh,54.91,64.43,53.1,90,53,6.55,RU,1597686278
424,Union,40.63,-74.27,84.0,54,1,4.7,US,1597686461
425,Braniewo,54.38,19.82,71.91,69,87,7.23,PL,1597686462
426,Stanislav,46.57,32.15,77.0,41,0,11.18,UA,1597686464
427,Copiapó,-27.37,-70.33,55.4,66,75,6.93,CL,1597686381
428,Hargeisa,9.56,44.06,77.86,52,84,18.77,SO,1597686466
429,Leh,34.17,77.58,70.84,21,2,3.58,IN,1597686467
430,Tsimmerbude,54.67,20.13,77.0,61,87,6.71,RU,1597686469
431,Zyryanka,65.75,150.85,37.96,77,0,1.41,RU,1597686470
432,Pontal do Paraná,-25.65,-48.51,68.0,72,75,6.93,BR,1597686471
433,Adré,13.47,22.2,78.31,71,86,5.35,TD,1597686472
434,Tateyama,34.98,139.87,82.99,90,81,3.53,JP,1597686473
435,Jutaí,-5.18,-68.9,98.82,36,10,2.28,BR,1597686475
436,Cururupu,-1.83,-44.87,87.94,51,48,7.34,BR,1597686476
437,Barra Patuca,15.8,-84.28,83.59,79,90,5.01,HN,1597686477
438,Buena Vista,43.42,-83.9,80.01,57,40,7.18,US,1597686478
439,Bragança,-1.05,-46.77,83.53,74,85,7.56,BR,1597686479
440,Marsh Harbour,26.54,-77.06,85.42,62,8,5.91,BS,1597686481
441,Margate,51.38,1.39,71.01,69,13,1.99,GB,1597686470
442,Kailua,21.4,-157.74,80.6,69,40,10.29,US,1597686483
443,Villanueva,15.32,-88.0,89.01,58,75,5.82,HN,1597686484
444,Nexø,55.06,15.13,78.8,39,48,9.17,DK,1597686485
445,Herat Province,34.5,62.0,82.4,21,0,17.22,AF,1597686486
446,Jiayuguan City,39.82,98.3,68.77,23,28,7.9,CN,1597686488
447,Koidu,8.42,-10.83,78.21,82,67,3.62,SL,1597686489
448,Mayumba,-3.43,10.66,74.03,88,100,10.09,GA,1597686490
449,Rio Grande,-32.03,-52.1,69.8,30,0,3.36,BR,1597686201
450,Gorontalo,0.54,123.06,75.18,83,82,3.76,ID,1597686492
451,Maceió,-9.67,-35.74,82.4,61,40,8.05,BR,1597686342
452,Orlik,52.52,99.83,48.83,70,92,1.39,RU,1597686495
453,Arlit,18.74,7.39,103.8,10,0,4.54,NE,1597686496
454,Mutatá,7.24,-76.44,83.52,76,74,3.83,CO,1597686497
455,Atambua,-9.11,124.89,67.57,84,0,4.45,ID,1597686498
456,Antalaha,-14.9,50.28,69.58,82,0,10.16,MG,1597686499
457,Kimberley,-28.73,24.76,60.8,21,0,11.41,ZA,1597686501
458,Nhulunbuy,-12.23,136.77,62.6,82,0,5.17,AU,1597686502
459,Los Llanos de Aridane,28.66,-17.92,80.6,57,8,13.87,ES,1597686503
460,Salinas,36.68,-121.66,73.4,60,1,6.93,US,1597686423
461,Kokopo,-4.35,152.26,77.0,85,6,12.12,PG,1597686505
462,Acajutla,13.59,-89.83,82.99,83,20,3.36,SV,1597686507
463,San Angelo,31.46,-100.44,88.0,48,1,5.82,US,1597686284
464,Waipawa,-41.41,175.52,39.2,86,4,5.82,NZ,1597686509
465,Bitkine,11.98,18.21,80.78,74,89,2.13,TD,1597686510
466,Praia,14.92,-23.51,84.2,70,75,12.75,CV,1597686511
467,Baghmara,23.8,86.21,81.82,84,86,5.79,IN,1597686512
468,Lima,-12.04,-77.03,64.4,72,90,8.05,PE,1597686371
469,Mendi,-6.18,143.65,53.04,100,53,1.3,PG,1597686515
470,Turka,49.15,23.03,64.0,91,57,4.25,UA,1597686516
471,Zharkent,44.16,80.0,77.65,28,42,7.2,KZ,1597686517
472,Sorong,-0.88,131.25,78.85,87,72,13.02,ID,1597686518
473,Vanimo,-2.67,141.3,77.22,84,7,5.03,PG,1597686519
474,Oulainen,64.27,24.8,52.0,76,53,1.99,FI,1597686521
475,Laas,46.62,10.7,64.0,82,40,6.93,IT,1597686483
476,Amontada,-3.36,-39.83,97.39,25,0,8.97,BR,1597686523
477,Port Hardy,50.7,-127.42,62.6,88,40,3.36,CA,1597686515
478,Lutín,49.56,17.14,73.99,80,53,1.01,CZ,1597686525
479,Manono,-7.3,27.42,79.79,20,72,2.04,CD,1597686526
480,Grão Mogol,-16.56,-42.89,87.22,30,1,5.03,BR,1597686528
481,Verkh-Usugli,52.7,115.17,41.54,92,20,4.99,RU,1597686529
482,Petropavlovsk-Kamchatskiy,53.05,158.65,53.6,100,75,2.24,RU,1597686530
483,Solnechnyy,50.72,136.63,54.05,92,100,1.95,RU,1597686531
484,Burns Lake,54.23,-125.75,71.37,46,40,5.46,CA,1597686532
485,Kapuskasing,49.42,-82.43,69.8,52,75,13.87,CA,1597686534
486,Tomatlán,19.93,-105.25,93.85,48,50,4.52,MX,1597686535
487,Marrakesh,31.63,-8.01,96.8,16,0,6.93,MA,1597686465
488,Bud,39.45,-86.18,82.99,57,1,3.36,US,1597686537
489,Vondrozo,-22.82,47.28,60.57,100,38,4.14,MG,1597686538
490,Buta,2.79,24.73,75.34,83,77,0.56,CD,1597686539
491,Kosonsoy,41.26,71.55,80.6,51,70,4.23,UZ,1597686541
492,Amalāpuram,16.58,82.02,76.71,92,96,7.02,IN,1597686542
493,Tual,-5.67,132.75,78.04,79,38,17.65,ID,1597686543
494,Kuril'sk,45.23,147.88,53.56,94,94,7.94,RU,1597686544
495,Rivers,50.03,-100.24,73.4,49,5,3.85,CA,1597686545
496,Rocky Mountain House,52.37,-114.92,77.22,49,88,10.13,CA,1597686547
497,Skuratovskiy,54.11,37.6,62.01,87,0,4.5,RU,1597686548
498,Chabahar,25.29,60.64,86.0,79,34,7.31,IR,1597686549
499,Pierre,44.37,-100.35,90.0,27,1,5.82,US,1597686468
500,Coffs Harbour,-30.3,153.13,46.99,93,8,2.24,AU,1597686551
501,Zhigalovo,54.81,105.16,48.27,68,0,2.44,RU,1597686552
502,Verkhnyaya Inta,65.98,60.31,52.75,73,100,7.49,RU,1597686554
503,Yangi Marg`ilon,40.43,71.72,80.6,51,88,2.46,UZ,1597686555
504,Hammerfest,70.66,23.68,48.2,76,75,28.86,NO,1597686556
505,Tūkrah,32.53,20.58,79.74,76,0,8.61,LY,1597686557
506,Amahai,-3.33,128.92,75.87,82,51,4.52,ID,1597686558
507,Nyrob,60.73,56.72,50.56,97,100,5.99,RU,1597686560
508,Pedernales,18.04,-71.74,85.62,65,3,7.47,DO,1597686561
509,Isangel,-19.55,169.27,75.51,84,91,14.41,VU,1597686562
510,Innisfail,-17.53,146.03,59.49,75,22,5.12,AU,1597686563
511,Coventry,52.41,-1.51,66.99,82,75,12.75,GB,1597686564
512,Labuhan,-6.88,112.21,77.45,80,31,6.35,ID,1597686566
513,Riberalta,-10.98,-66.1,95.0,50,75,8.05,BO,1597686567
514,Pallapatti,11.66,78.13,76.66,82,100,1.74,IN,1597686568
515,Bonavista,48.65,-53.11,71.01,59,60,3.0,CA,1597686569
516,Tabou,4.42,-7.35,75.45,74,73,8.95,CI,1597686570
517,Weligama,5.97,80.42,79.14,88,33,7.76,LK,1597686571
518,Alugan,12.22,125.48,78.4,87,99,5.55,PH,1597686573
519,Bathsheba,13.22,-59.52,82.4,83,75,21.92,BB,1597686574
520,Rongcheng,30.63,117.85,79.88,78,6,3.06,CN,1597686575
521,Mwinilunga,-11.74,24.43,68.77,24,20,3.98,ZM,1597686576
522,Vila Franca do Campo,37.72,-25.43,75.2,83,75,21.92,PT,1597686577
523,Kherson,46.66,32.62,77.0,41,0,11.18,UA,1597686496
524,Pacific Grove,36.62,-121.92,71.6,60,40,9.17,US,1597686579
525,Krasnyy Luch,48.14,38.94,68.0,56,32,2.73,UA,1597686581
526,Broken Hill,-31.95,141.43,53.6,58,17,6.93,AU,1597686523
527,Jalgaon,21.02,75.57,76.42,92,100,8.57,IN,1597686583
528,Shenjiamen,29.96,122.3,81.03,88,0,13.73,CN,1597686584
529,Along,28.17,94.77,73.53,90,76,0.69,IN,1597686585
530,Thanh Hoa,19.8,105.77,75.7,92,100,2.26,VN,1597686504
531,Ayorou,14.73,0.92,96.39,36,75,6.42,NE,1597686588
532,Corrales,35.24,-106.61,87.01,28,1,4.7,US,1597686377
533,Beverly,42.56,-70.88,73.99,60,75,8.05,US,1597686578
534,Vidim,56.41,103.11,50.2,67,67,5.57,RU,1597686591
535,Richards Bay,-28.78,32.04,65.55,63,61,19.77,ZA,1597686592
536,Sokoto,13.06,5.24,88.66,52,99,6.71,NG,1597686594
537,Bow Island,49.87,-111.37,84.2,28,75,11.41,CA,1597686595
538,Xining,36.62,101.77,49.3,75,25,2.53,CN,1597686596
539,Sampit,-2.53,112.95,75.36,92,93,3.24,ID,1597686597
540,Roald,62.58,6.13,66.0,77,2,12.75,NO,1597686598
541,Karoi,-16.81,29.69,62.58,30,9,4.85,ZW,1597686600
542,Tabuk,17.42,121.44,73.89,90,100,2.01,PH,1597686601
543,Ketchikan,55.34,-131.65,57.2,100,90,6.93,US,1597686602
544,São Simão,-21.48,-47.55,80.6,39,40,11.41,BR,1597686603
545,Karasjok,69.47,25.51,48.2,76,75,24.16,NO,1597686604
546,Mogadishu,2.04,45.34,75.83,78,98,16.15,SO,1597686310
547,Mahendranagar,28.92,80.33,82.81,74,2,4.12,NP,1597686607
548,Tagāb,34.85,69.65,87.8,14,1,12.75,AF,1597686608
549,Darhan,49.49,105.92,50.61,57,0,3.31,MN,1597686609
550,Haines Junction,60.75,-137.51,48.76,86,100,1.48,CA,1597686610
551,Boden,65.83,21.69,60.8,67,35,5.82,SE,1597686611
552,Mount Isa,-20.73,139.5,51.8,29,0,7.31,AU,1597686472
553,Weston-super-Mare,51.35,-2.98,68.0,82,87,9.17,GB,1597686614
554,Sangar,63.92,127.47,42.57,66,0,0.6,RU,1597686615
555,Kaseda-shirakame,31.42,130.32,81.95,81,2,4.59,JP,1597686616
556,Englewood,39.65,-104.99,89.01,25,20,5.82,US,1597686617
557,Lillooet,50.69,-121.94,84.2,37,1,17.22,CA,1597686445
558,Micheldorf,46.92,14.44,68.0,77,99,4.7,AT,1597686620
559,Quatre Cocos,-20.21,57.76,71.6,78,40,11.41,MU,1597686621
560,Melipilla,-33.7,-71.22,63.0,66,0,9.17,CL,1597686622
561,Urengoy,65.97,78.37,55.35,88,81,4.38,RU,1597686554
562,Mokrous,51.23,47.52,63.45,80,12,11.01,RU,1597686625
563,Stutterheim,-32.57,27.42,53.04,34,75,6.53,ZA,1597686626
564,Chifeng,42.27,118.96,72.77,74,47,1.72,CN,1597686627
565,Te Anau,-45.42,167.72,35.8,87,99,0.92,NZ,1597686628
